,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
441,RESIDENTIAL SINGLE FAMILY,184 RICHMOND DR,"122,760",4/5/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 14,XX120B  014,33.9500662,-83.6004169
442,RESIDENTIAL SINGLE FAMILY,1129 NANTUCKET WAY,"122,705",1/18/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 83,XX053L  209,33.9327292,-83.7943376
443,RESIDENTIAL SINGLE FAMILY,1000 NANTUCKET WAY,"122,705",2/8/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 19,XX053L  145,33.9322416,-83.7964222
444,RESIDENTIAL SINGLE FAMILY,1005 NANTUCKET WAY,"122,705",2/8/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 21,XX053L  147,33.9322567,-83.7963567
445,RESIDENTIAL SINGLE FAMILY,1039 NANTUCKET WAY,"122,705",2/21/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 23,XX053L  149,33.9323844,-83.7957999
446,RESIDENTIAL SINGLE FAMILY,1024 LYNDHURST LANE,"122,705",3/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 81,XX053L  207,33.9324209,-83.7946619
447,RESIDENTIAL SINGLE FAMILY,1165 LYNDHURST LANE,"122,705",3/3/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 32,XX053L  158,33.9313606,-83.7967802
448,RESIDENTIAL SINGLE FAMILY,1221 LYNDHURST LANE,"122,705",3/10/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 36,XX053L  162,33.9310142,-83.7976538
449,RESIDENTIAL SINGLE FAMILY,171 LYNDHURST DR,"122,705",4/21/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 39,XX053L  165,33.9317217,-83.7981937
451,RESIDENTIAL SINGLE FAMILY,28 ELMARRY LANE,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 3  PHASE 1A,XX053R  003,33.93806294,-83.79894388
523,RESIDENTIAL SINGLE FAMILY,34 MEAGAN ST,"118,250",3/7/23,SINGLE FAMILY HOME,HEATHER ESTATES  LOT 66,XX137D  066,33.98664833,-83.55347413
