,PROJ DESC,LOCATION,EST VALUE IN RANGE,PERMIT ISSUED,DESC OF WORK LINE 1,DESC OF WORK LINE 2,PARCEL ID,lat,long
148,RESIDENTIAL SINGLE FAMILY,27 RICHMOND CIRCLE,"161,425",5/5/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 40,XX120B  040,33.9492109,-83.6008973
149,RESIDENTIAL SINGLE FAMILY,104 RICHMOND CIRCLE,"161,425",5/17/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 32,XX120B  032,33.9482687,-83.6008228
150,RESIDENTIAL SINGLE FAMILY,296 WESTMINSTER TRAIL,"159,995",2/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 42,XX108M  042,33.9302845,-83.6468809
151,RESIDENTIAL SINGLE FAMILY,42 WESTMINSTER TRAIL,"159,995",4/4/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 46,XX108M  046,33.9304176,-83.6484752
152,RESIDENTIAL SINGLE FAMILY,255 WAGES RD,"159,500",2/12/24,SINGLE FAMILY HOME,,XX009  006,34.0220451,-83.8567188
153,RESIDENTIAL SINGLE FAMILY,259 WAGES RD,"159,500",2/12/24,SINGLE FAMILY HOME,,XX009  006B,34.0222198,-83.8565414
154,RESIDENTIAL SINGLE FAMILY,41 WESTMINSTER CT,"158,400",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 5,XX108M  005,33.9297426,-83.6454129
155,RESIDENTIAL SINGLE FAMILY,261 WESTMINSTER TRAIL,"158,400",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 28,XX108M  028,33.9306762,-83.6459168
156,RESIDENTIAL SINGLE FAMILY,93 WESTMINSTER TRAIL,"158,400",2/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 3,XX108M  003,33.9295189,-83.6478208
157,RESIDENTIAL SINGLE FAMILY,20 WESTMINSTER TRAIL,"158,400",4/4/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 47,XX108M  047,33.9304919,-83.6488369
158,RESIDENTIAL SINGLE FAMILY,318 WESTMINSTER TRAIL,"158,400",6/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 41,XX108M  041,33.930453,-83.6471944
159,RESIDENTIAL SINGLE FAMILY,481 DUNAGAN CT,"158,290",9/19/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 13,XX051F  013,33.9822344,-83.7775268
160,RESIDENTIAL SINGLE FAMILY,1056 MANNING GIN ROAD,"157,795",7/7/23,SINGLE FAMILY HOME,,XX109  066B,33.918692,-83.650661
161,RESIDENTIAL SINGLE FAMILY,555 DUNAGAN CT,"157,025",9/19/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 15,XX051F  015,33.9821616,-83.7771812
162,RESIDENTIAL SINGLE FAMILY,1557 DOSTER RD,"157,025",5/30/23,SINGLE FAMILY HOME,,XX122  013D,33.920012,-83.630162
163,RESIDENTIAL SINGLE FAMILY,563 ARGONNE RD,"156,585",8/8/23,SINGLE FAMILY HOME,,XX096  002,33.956353,-83.6909014
164,RESIDENTIAL SINGLE FAMILY,1306 HWY 82,"156,255",8/23/23,SINGLE FAMILY HOME,WOODBRIDGE ACRES,XX112  035G,33.996228,-83.627419
165,RESIDENTIAL SINGLE FAMILY,1377 ETHERIDGE DR,"155,100",1/20/23,SINGLE FAMILY HOME,,XX039  017,33.9819571,-83.8300042
166,RESIDENTIAL SINGLE FAMILY,135 LAKEWOOD CIRCLE,"154,990",1/23/24,SINGLE FAMILY HOME,VISTA MANOR  LOT 49,XX121J  049,33.9315585,-83.6067595
459,RESIDENTIAL SINGLE FAMILY,114 FEENEY ST,"122,430",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 50  PHASE 1A,XX053R  050,33.94025311,-83.79548804
168,RESIDENTIAL SINGLE FAMILY,1169 DEE KENNEDY RD,"154,000",4/11/23,SINGLE FAMILY HOME,EBAL MOUNTAIN  LOT 8,XX028B 008,34.047199,-83.810272
169,RESIDENTIAL SINGLE FAMILY,254 DUNAGAN CT,"153,450",5/24/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 22,XX051F  022,33.9808681,-83.7785322
170,RESIDENTIAL SINGLE FAMILY,371 DUNAGAN CT,"153,450",6/1/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 10,XX051F  010,33.981792,-83.778516
171,RESIDENTIAL SINGLE FAMILY,445 DUNAGAN CT,"153,450",6/1/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 12,XX051F  012,33.9823034,-83.7778542
172,RESIDENTIAL SINGLE FAMILY,1217 ORA LEE LN,"152,680",3/2/23,SINGLE FAMILY HOME,SIMS CROSSING  LOT 26,XX104E 026,34.033185,-83.670218
173,RESIDENTIAL SINGLE FAMILY,37 RICHMOND DR,"151,415",2/2/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 45,XX120B  045,33.948753,-83.6016438
174,RESIDENTIAL SINGLE FAMILY,204 PLEASANT HILL CH RD NE,"150,700",1/5/24,SINGLE FAMILY HOME,,XX105  094,34.0044576,-83.6431061
175,RESIDENTIAL SINGLE FAMILY,349 HYDE PARK,"150,480",6/30/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 87,XX049J  087,34.015653,-83.753432
176,RESIDENTIAL SINGLE FAMILY,711 KNIGHTSBRIDGE LANE,"150,480",2/21/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 135,XX049J  135,34.016285,-83.7573187
177,RESIDENTIAL SINGLE FAMILY,283 HYDE PARK,"150,480",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 79,XX049J  079,34.016614,-83.754437
178,RESIDENTIAL SINGLE FAMILY,313 HYDE PARK,"150,480",6/1/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 82,XX049J  082,34.016284,-83.754157
179,RESIDENTIAL SINGLE FAMILY,341 HYDE PARK,"150,480",6/1/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 85,XX049J  085,34.0158119,-83.753929
180,RESIDENTIAL SINGLE FAMILY,825 ARCH TANNER RD,"150,425",9/29/23,SINGLE FAMILY HOME,,XX077  034A,33.9299243,-83.7281354
181,RESIDENTIAL SINGLE FAMILY,529 MADDOX RD,"150,425",1/12/24,SINGLE FAMILY HOME,ROCKWELL FARMS PH III  LOT 3,XX058E  024,34.0284956,-83.7425052
182,RESIDENTIAL SINGLE FAMILY,1057 CLACKTOWN RD,"150,425",6/29/23,SINGLE FAMILY HOME,,XX108  069B,33.9366459,-83.6474048
183,RESIDENTIAL SINGLE FAMILY,778 KNIGHTSBRIDGE LANE,"149,710",7/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 143,X049J  143,34.016285,-83.7573188
184,RESIDENTIAL SINGLE FAMILY,687 KNIGHTSBRIDGE LANE,"149,710",2/21/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 133,XX049J  133,34.016285,-83.7573187
185,RESIDENTIAL SINGLE FAMILY,193 HYDE PARK,"149,710",3/2/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 70,XX049J  070,34.017611,-83.75527
186,RESIDENTIAL SINGLE FAMILY,220 HYDE PARK,"149,710",3/29/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 102,XX049J  102,34.017563,-83.754487
187,RESIDENTIAL SINGLE FAMILY,250 HYDE PARK,"149,710",4/26/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 99,XX049J  099,34.017233,-83.7542069
188,RESIDENTIAL SINGLE FAMILY,320 HYDE PARK,"149,710",6/1/23,SINGLE FAMILY HOME,CHELSEA PARK  LOT 92,XX049J  092,34.016463,-83.753554
189,RESIDENTIAL SINGLE FAMILY,165 DAURIAN DR,"149,655",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 220,XX121H  220,33.9319486,-83.6259438
190,RESIDENTIAL SINGLE FAMILY,356 CONDOR CT,"149,655",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 141,XX121H  141,33.9321802,-83.6247577
191,RESIDENTIAL SINGLE FAMILY,396 CONDOR CT,"149,655",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 144,XX121H  144,33.9321802,-83.6247577
192,RESIDENTIAL SINGLE FAMILY,426 CONDOR CT,"149,655",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 146,XX121H  146,33.9321802,-83.6247577
193,RESIDENTIAL SINGLE FAMILY,387 CONDOR CT,"149,655",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 155,XX121H  155,33.9321802,-83.6247577
194,RESIDENTIAL SINGLE FAMILY,1026 OLD HOG MTN RD,"149,325",4/26/23,SINGLE FAMILY HOME,,XX026  073A,34.069631,-83.8129716
195,RESIDENTIAL SINGLE FAMILY,682 PLEASANT HILL CHURCH RD NE,"148,060",12/12/23,SINGLE FAMILY HOME,,XX103  027D,34.0353447,-83.6492886
196,RESIDENTIAL SINGLE FAMILY,395 LEDBETTER RD,"147,895",2/21/23,SINGLE FAMILY HOME,ROCKWELL FARMS  LOT 9B,XX058E  021,34.032509,-83.737787
260,RESIDENTIAL SINGLE FAMILY,122 ADVENT DR,"138,930",10/24/23,SINGLE FAMILY HOME,SHEPARDS WALK  LOT 37,BE04A  037,33.95406441,-83.70377605
198,RESIDENTIAL SINGLE FAMILY,519 MADDOX RD,"146,905",8/29/23,SINGLE FAMILY HOME,ROCKWELL FARMS  PHASE 3  LOT 2,XX058E  023,34.0278979,-83.7424116
199,RESIDENTIAL SINGLE FAMILY,2433 KUMBANAD CT,"146,355",6/9/23,SINGLE FAMILY HOME,KERALA  LOT 30A,XX121B 036,33.9395049,-83.626075
200,RESIDENTIAL SINGLE FAMILY,57 WESTMINSTER TRAIL,"145,695",2/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 2,XX108M  002,33.9296051,-83.6484198
201,RESIDENTIAL SINGLE FAMILY,104 WESTMINSTER TRAIL,"145,695",4/4/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 45,XX108M  045,33.9302624,-83.647489
202,RESIDENTIAL SINGLE FAMILY,269 WESTMINSTER TRAIL,"145,695",6/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 30,XX108M  030,33.9307643,-83.6459706
203,RESIDENTIAL SINGLE FAMILY,856 SMITH MILL RD,"145,695",6/14/23,SINGLE FAMILY HOME,SMITH MILL RD  LOT 6,XX108J  006,33.942819,-83.651072
204,RESIDENTIAL SINGLE FAMILY,216 WESTMINSTER TRAIL,"145,640",2/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 43,XX108M  043,33.9301889,-83.6470185
205,RESIDENTIAL SINGLE FAMILY,380 WESTMINSTER TRAIL,"145,365",8/24/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 36,XX108M  036,33.9318882,-83.6463868
206,RESIDENTIAL SINGLE FAMILY,385 LAKE VISTA DR,"144,760",1/23/24,SINGLE FAMILY HOME,VISTA MANOR  LOT 23,XX121J  023,33.9299044,-83.6071205
207,RESIDENTIAL SINGLE FAMILY,113 KENNEDY SELLS RD NW,"144,540",1/5/24,SINGLE FAMILY HOME,,XX040  025A,33.9912458,-83.8107446
208,RESIDENTIAL SINGLE FAMILY,379 WESTMINSTER TRAIL,"144,375",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 32,XX108M  032,33.931887,-83.6463874
209,RESIDENTIAL SINGLE FAMILY,235 WESTMINSTER CT,"144,375",11/2/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 15,XX108M  015,33.9311673,-83.6441863
210,RESIDENTIAL SINGLE FAMILY,336 WESTMINSTER TRAIL,"144,375",6/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 38,XX108M  038,33.931657,-83.6475769
211,RESIDENTIAL SINGLE FAMILY,198 DAURIAN DR,"143,440",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 6,XX121H  006,33.9319486,-83.6259438
212,RESIDENTIAL SINGLE FAMILY,265 DAURIAN DR,"143,440",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 218,XX121H  218,33.9319486,-83.6259438
213,RESIDENTIAL SINGLE FAMILY,153 CONDOR CT,"143,440",1/5/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 170,XX121H  170,33.9337027,-83.6265149
214,RESIDENTIAL SINGLE FAMILY,384 CONDOR CT,"143,440",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 143,XX121H  143,33.9321802,-83.6247577
215,RESIDENTIAL SINGLE FAMILY,450 CONDOR CT,"143,440",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 148,XX121H  148,33.9321802,-83.6247577
216,RESIDENTIAL SINGLE FAMILY,415 CONDOR CT,"143,440",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 153,XX121H  153,33.9321802,-83.6247577
217,RESIDENTIAL SINGLE FAMILY,329 CONDOR CT,"143,440",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 159,XX121H  159,33.9321802,-83.6247577
218,RESIDENTIAL SINGLE FAMILY,2232 FINCH DR,"143,000",5/3/23,SINGLE FAMILY HOME,,XX110  027K,34.0419435,-83.6266991
219,RESIDENTIAL SINGLE FAMILY,93 RICHMOND CIRCLE,"142,725",5/17/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 36,XX120B  036,33.9484129,-83.6008383
220,RESIDENTIAL SINGLE FAMILY,504 DUNAGAN CT,"142,285",7/10/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 18,XX051F  018,33.9817484,-83.7773235
221,RESIDENTIAL SINGLE FAMILY,442 DUNAGAN CT,"142,285",9/19/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 19,XX051F  019,33.9817148,-83.7773338
222,RESIDENTIAL SINGLE FAMILY,236 DOOLEY DR,"142,285",4/6/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 13,XX120A  013,33.946525,-83.603905
223,RESIDENTIAL SINGLE FAMILY,223 DUNAGAN CT,"142,285",4/17/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 6,XX051F  006,33.9810428,-83.7792173
224,RESIDENTIAL SINGLE FAMILY,333 DUNAGAN CT,"142,285",5/24/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 9,XX051F  009,33.9815221,-83.7786611
225,RESIDENTIAL SINGLE FAMILY,407 DUNAGAN CT,"142,285",6/1/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 11,XX051F  011,33.9820312,-83.7783888
226,RESIDENTIAL SINGLE FAMILY,245 RICHMOND DR,"141,955",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 19,XX120B  019,33.9500711,-83.5993065
227,RESIDENTIAL SINGLE FAMILY,36 RICHMOND CIRCLE,"141,955",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 27,XX120B  027,33.9492248,-83.6007838
228,RESIDENTIAL SINGLE FAMILY,50 RICHMOND CIRCLE,"141,955",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 28,XX120B  028,33.9490297,-83.6007285
229,RESIDENTIAL SINGLE FAMILY,64 RICHMOND CIRCLE,"141,955",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 29,XX120B  029,33.9488307,-83.6006895
230,RESIDENTIAL SINGLE FAMILY,78 RICHMOND CIRCLE,"141,955",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 30,XX120B  030,33.948624,-83.6006885
231,RESIDENTIAL SINGLE FAMILY,316 DUNAGAN CT,"141,955",7/10/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 21,XX051F  021,33.9814833,-83.7781149
232,RESIDENTIAL SINGLE FAMILY,519 DUNAGAN CT,"141,955",8/8/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 14,XX051F  014,33.9822111,-83.7771661
233,RESIDENTIAL SINGLE FAMILY,15 RICHMOND DR,"141,955",2/2/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 47,XX120B  047,33.9484653,-83.601755
234,RESIDENTIAL SINGLE FAMILY,154 RICHMOND DR,"141,955",4/5/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 12,XX120B  012,33.949937,-83.6008718
235,RESIDENTIAL SINGLE FAMILY,212 RICHMOND DR,"141,955",4/17/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 16,XX120B  016,33.9501942,-83.5999463
236,RESIDENTIAL SINGLE FAMILY,59 RICHMOND CIRCLE,"141,955",5/5/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 38,XX120B  038,33.9488216,-83.6007827
237,RESIDENTIAL SINGLE FAMILY,108 RICHMOND CIRCLE,"141,955",5/17/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 33,XX120B  033,33.948356,-83.6008114
238,RESIDENTIAL SINGLE FAMILY,154 WESTMINSTER TRAIL,"141,680",2/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 44,XX108M  044,33.9301427,-83.6466596
239,RESIDENTIAL SINGLE FAMILY,326 WESTMINSTER TRAIL,"141,680",6/8/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 39,XX108M  039,33.9315308,-83.647643
240,RESIDENTIAL SINGLE FAMILY,136 MATTHEWS SCHOOL RD,"141,240",9/25/23,SINGLE FAMILY HOME,,XX068  091B,33.973873,-83.7548431
241,RESIDENTIAL SINGLE FAMILY,255 WESTMINSTER CT,"141,185",11/2/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 16,XX108M  016,33.931393,-83.6444013
242,RESIDENTIAL SINGLE FAMILY,1117 NANTUCKET WAY,"141,075",1/20/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 82,XX053L  208,33.9326811,-83.7945333
243,RESIDENTIAL SINGLE FAMILY,1048 NANTUCKET WAY,"141,075",2/8/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 15,XX053L  141,33.9326278,-83.7957047
244,RESIDENTIAL SINGLE FAMILY,1016 NANTUCKET WAY,"141,075",2/8/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 17,XX053L  143,33.9325077,-83.7962288
245,RESIDENTIAL SINGLE FAMILY,1001 NANTUCKET WAY,"141,075",2/8/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 20,XX053L  146,33.9322416,-83.7964222
246,RESIDENTIAL SINGLE FAMILY,1106 LYNDHURST LANE,"141,075",3/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 75,XX053L  201,33.9317536,-83.7950999
247,RESIDENTIAL SINGLE FAMILY,1062 LYNDHURST LANE,"141,075",3/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 78,XX053L  204,33.9319985,-83.7947994
248,RESIDENTIAL SINGLE FAMILY,213 LYNDHURST DR,"141,075",3/15/23,SINGLE FAMILY  HOME,WATERSIDE AT RIVERWALK  LOT 43,XX053L  169,33.9319749,-83.797505
249,RESIDENTIAL SINGLE FAMILY,170 LYNDHURST DR,"141,075",5/2/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 49,XX053L  175,33.9318312,-83.7982678
250,RESIDENTIAL SINGLE FAMILY,94 LYNDHURST DR,"141,075",5/25/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 55,XX053L  181,33.9309275,-83.7982322
251,RESIDENTIAL SINGLE FAMILY,66 LYNDHURST DR,"141,075",5/25/23,SINGLE FAMILY HOME,WATERSIDE AT RIVERWALK  LOT 57,XX053L  183,33.9305632,-83.7980979
252,RESIDENTIAL SINGLE FAMILY,85 DOOLEY DR,"140,745",4/6/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 6,XX120A  006,33.9474772,-83.6030728
253,RESIDENTIAL SINGLE FAMILY,57 DANIELLE DR,"140,635",11/15/23,SINGLE FAMILY HOME,WILLIAMS POINTE  LOT 4,XX125A 004,33.9943,-83.565323
254,RESIDENTIAL SINGLE FAMILY,259 DUNAGAN CT,"139,920",4/17/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 7,XX051F  007,33.9811588,-83.7789409
255,RESIDENTIAL SINGLE FAMILY,297 DUNAGAN CT,"139,315",5/24/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 8,XX051F  008,33.9812691,-83.7788007
256,RESIDENTIAL SINGLE FAMILY,378 DUNAGAN CT,"139,315",5/24/23,SINGLE FAMILY HOME,DUNAGAN FARMS  LOT 20,XX051F 020,33.9819024,-83.7780647
257,RESIDENTIAL SINGLE FAMILY,234 DOOLY DR,"139,095",2/19/24,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 14,XX120A  014,33.9465873,-83.6035317
258,RESIDENTIAL SINGLE FAMILY,180 DOOLY DR,"139,095",2/19/24,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 19,XX120A  019,33.9462358,-83.6027047
259,RESIDENTIAL SINGLE FAMILY,645 CROWE RD,"138,930",9/26/23,SINGLE FAMILY HOME,,XX133  016B,33.9490367,-83.5722331
572,RESIDENTIAL SINGLE FAMILY,122 FEENEY ST,"110,055",2/19/24,SINGLE FAMILY HOME,CASTEEL  LOT 51  PHASE 1A,XX053R  051,33.93979432,-83.79492994
261,RESIDENTIAL SINGLE FAMILY,60 DAURIAN DR,"138,105",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 1,XX121H  001,33.9319486,-83.6259438
262,RESIDENTIAL SINGLE FAMILY,120 DAURIAN DR,"138,105",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 3,XX121H  003,33.9319486,-83.6259438
263,RESIDENTIAL SINGLE FAMILY,176 DAURIAN DR,"138,105",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 5,XX121H  005,33.9319486,-83.6259438
264,RESIDENTIAL SINGLE FAMILY,260 DAURIAN DR,"138,105",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK LOT 8,XX121H  008,33.9319486,-83.6259438
265,RESIDENTIAL SINGLE FAMILY,318 DAURIAN DR,"138,105",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 10,XX121H  010,33.9319486,-83.6259438
266,RESIDENTIAL SINGLE FAMILY,233 DAURIAN DR,"138,105",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 219,XX121H  219,33.9319486,-83.6259438
267,RESIDENTIAL SINGLE FAMILY,137 DAURIAN DR,"138,105",7/6/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 221,XX121H  221,33.9319486,-83.6259438
268,RESIDENTIAL SINGLE FAMILY,326 CONDOR CT,"138,105",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 139,XX121H  139,33.9321802,-83.6247577
269,RESIDENTIAL SINGLE FAMILY,412 CONDOR CT,"138,105",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 145,XX121H  145,33.9321802,-83.6247577
270,RESIDENTIAL SINGLE FAMILY,460 CONDOR CT,"138,105",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 149,XX121H  149,33.9321802,-83.6247577
271,RESIDENTIAL SINGLE FAMILY,429 CONDOR CT,"138,105",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 152,XX121H  152,33.9321802,-83.6247577
272,RESIDENTIAL SINGLE FAMILY,373 CONDOR CT,"138,105",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 156,XX121H  156,33.9321802,-83.6247577
273,RESIDENTIAL SINGLE FAMILY,343 CONDOR CT,"138,105",4/25/23,SINGLE FAMILY HOME,PRESERVE AT DOVE CREEK  LOT 158,XX121H  158,33.9321802,-83.6247577
274,RESIDENTIAL SINGLE FAMILY,235 DOOLY DR,"138,050",2/19/24,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 12,XX120A  012,33.9466015,-83.6035643
275,RESIDENTIAL SINGLE FAMILY,233 DOOLY DRIVE,"138,050",5/22/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 11,XX120A  011,33.9465874,-83.6035317
276,RESIDENTIAL SINGLE FAMILY,385 WESTMINSTER TRAIL,"137,500",8/24/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 34,XX108M  034,33.9319639,-83.6463472
277,RESIDENTIAL SINGLE FAMILY,61 WESTMINSTER CT,"137,500",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 6,XX108M  006,33.9296873,-83.6450718
278,RESIDENTIAL SINGLE FAMILY,223 WESTMINSTER CT,"137,500",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 26,XX108M  026,33.9310253,-83.6440685
279,RESIDENTIAL SINGLE FAMILY,265 WESTMINSTER TRAIL,"137,500",9/27/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 29,XX108M  029,33.9307299,-83.6459181
280,RESIDENTIAL SINGLE FAMILY,202 DOOLY DR,"137,500",2/19/24,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 16,XX120A  016,33.9463732,-83.6030214
281,RESIDENTIAL SINGLE FAMILY,27 WESTMINSTER TRAIL,"137,500",4/4/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 1,XX108M  001,33.9297087,-83.6489322
282,RESIDENTIAL SINGLE FAMILY,15 DOOLEY DR,"137,500",5/22/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 1,XX120A  001,33.948523,-83.603031
283,RESIDENTIAL SINGLE FAMILY,223 DOOLY DRIVE,"137,500",5/22/23,SINGLE FAMILY HOME,GEORGIA ESTATES  LOT 10,XX120A  010,33.9466195,-83.603304
284,RESIDENTIAL SINGLE FAMILY,324 WESTMINSTER TRAIL,"137,500",6/8/23,SINGLE FAMILY HOME,WESTMINSTER   LOT 40,XX108M  040,33.9305945,-83.6474156
285,RESIDENTIAL SINGLE FAMILY,234 BUCKHORN DR,"137,500",7/3/23,SINGLE FAMILY HOME,,XX068A 024,33.968038,-83.755961
286,RESIDENTIAL SINGLE FAMILY,227 RICHMOND DR,"136,565",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 21,XX120B  021,33.950037,-83.5996045
287,RESIDENTIAL SINGLE FAMILY,167 RICHMOND DR,"136,565",7/6/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 25,XX120B  025,33.9498144,-83.6005667
288,RESIDENTIAL SINGLE FAMILY,144 RICHMOND DR,"136,565",4/5/23,SINGLE FAMILY  HOME,RICHMOND WOODS  LOT 11,XX120B  011,33.9497068,-83.6009462
289,RESIDENTIAL SINGLE FAMILY,11 RICHMOND CIRCLE,"136,565",5/5/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 41,XX120B  041,33.9494978,-83.6009623
290,RESIDENTIAL SINGLE FAMILY,90 RICHMOND CIRCLE,"136,565",5/17/23,SINGLE FAMILY HOME,RICHMOND WOODS  LOT 31,XX120B  031,33.948454,-83.6007283
291,RESIDENTIAL SINGLE FAMILY,830 MOON BRIDGE RD,"135,740",1/12/23,SINGLE FAMILY HOME,,XX080  040E,34.0437192,-83.6948247
292,RESIDENTIAL SINGLE FAMILY,353 WESTMINSTER TRAIL,"135,630",8/24/23,SINGLE FAMILY HOME,WESTMINSTER  LOT 31,XX108M  031,33.9315539,-83.646562
